Epoch,Training loss,Validation loss
1.0,12595.096516927084,13174.640364170074
2.0,11322.022298177084,12337.367107582093
3.0,10897.21875,10982.53562374115
4.0,9602.124755859375,8948.357980537414
5.0,7702.087158203125,6257.114185929298
6.0,4687.717875162761,3301.043058630824
7.0,2481.2454630533853,1322.5783665694296
8.0,943.290781656901,429.71911852136253
9.0,242.63857777913412,231.03259577844292
10.0,274.2059961954753,182.52334580421447
11.0,102.85025151570638,34.23520942628384
12.0,37.29610029856364,65.08151795334416
13.0,61.91784477233887,47.37604660093784
14.0,26.835285584131878,13.3108068395406
15.0,16.62580680847168,20.461199779622255
16.0,20.44690767923991,14.564768039959016
17.0,12.876219590504965,12.617954816296697
18.0,12.88882311185201,17.858574559912086
19.0,13.198937575022379,11.342784830462188
20.0,11.76299524307251,11.572189421579242
21.0,11.049816926320394,11.28271254338324
22.0,11.755582412083944,11.368833050876855
23.0,10.118609746297201,10.821456084831151
24.0,9.915957609812418,10.549506027530878
25.0,10.5161825021108,10.327885210514069
26.0,10.14609670639038,10.073868796907481
27.0,9.884585777918497,9.495803235238418
28.0,8.494224150975546,8.153774232091383
29.0,8.387624343236288,7.503204517811537
30.0,7.904499928156535,10.605926463799552
31.0,11.215720971425375,9.685001887113321
32.0,10.039801597595215,8.518653027527034
33.0,8.639894564946493,8.241602231236175
34.0,8.204387108484903,7.885400103498251
35.0,7.677904963493347,6.397732857288792
36.0,5.965339124202728,7.892506228107959
37.0,6.6785014768441515,7.63804318215698
38.0,7.897685448328654,5.895246584367124
39.0,6.149194359779358,7.845516451552976
40.0,7.121970812479655,6.338912540406454
41.0,5.827572147051494,5.943713659467176
42.0,6.314761400222778,5.452739135466982
43.0,5.2311094999313354,5.396191639837343
44.0,6.38623309135437,6.466297796939034
45.0,5.431410829226176,5.100677184201777
46.0,4.791930079460144,4.923724851198495
47.0,5.31099808216095,4.417762424435932
48.0,4.243744820356369,4.460847746534273
49.0,5.376615206400554,4.1457735120698995
50.0,5.7358696063359575,4.235953057720326
51.0,5.528423468271892,5.180323322920595
52.0,5.7870068947474165,5.806570428481791
53.0,6.4227375984191895,5.617325164005161
54.0,4.872873584429423,4.637238111451734
55.0,4.203111966451009,3.395080397417769
56.0,3.492607593536377,3.3472206546925007
57.0,3.4321742057800293,3.1735172427725047
58.0,3.116903066635132,3.0647470867377704
59.0,3.0610156456629434,2.910869699437171
60.0,3.190982699394226,3.1022807135246695
61.0,2.8793290058771768,2.651047201329493
62.0,2.7281102339426675,2.6058261785423382
63.0,2.6606066624323526,3.2325586732011287
64.0,2.7239938577016196,2.3591016906430013
65.0,2.7828860878944397,2.2135682706255464
66.0,2.22395392258962,2.1662891832413154
67.0,2.446077585220337,2.151920443959534
68.0,2.2326956391334534,1.9442881719325669
69.0,2.191982607046763,1.787531396339182
70.0,1.7785571813583374,1.6704711866914295
71.0,1.746252437432607,1.5737589577562177
72.0,1.72785085439682,2.1230400326778183
73.0,2.954550782839457,1.537574727705214
74.0,1.64512437582016,1.4525275164516642
75.0,1.322519858678182,0.9315858105343068
76.0,0.7161040554443995,0.6906321223243139
77.0,0.5765601148207983,0.6892361732549034
78.0,0.5557338098684946,0.6321145135560073
79.0,0.49883730212847394,0.5927694530168083
80.0,0.45423612495263416,0.5609850135479064
81.0,0.3917140190800031,0.6156391196454933
82.0,0.4340292811393738,0.52462636565906
83.0,0.342304481814305,0.5279502649587812
84.0,0.344432957470417,0.6207106601563283
85.0,0.3962927311658859,0.6229751034872606
86.0,0.4528174002965291,0.49498328382615
87.0,0.43297312408685684,0.6097531361039727
88.0,0.40931913753350574,0.6665366046829149
89.0,0.36234289904435474,0.5697205617208965
90.0,0.2970931480328242,0.5430831285775639
91.0,0.33509120096762973,0.4957072693039663
92.0,0.3556424304842949,0.7205480861011893
93.0,0.4805266335606575,0.44167149912100284
94.0,0.4221177051464717,0.8811128387693316
95.0,0.7788954178492228,0.4769773411331698
96.0,1.135553163786729,0.9014415530487895
97.0,0.7796156282226244,0.5710995088331401
98.0,0.750440830985705,1.2076835668995045
99.0,0.6142245630423228,0.8049136777757667
100.0,0.4244239131609599,0.955353608855512
